n,model,metric,tail_var,r,p,draws
10000,glm_tweedie,calibration_ratio,cap_q995,0.7578947368421052,0.00010832096279243406,20
10000,glm_tweedie,gini_exposure_weighted,n_above_q99,-0.3407926172767459,0.14146075802537567,20
10000,glm_tweedie,gini_exposure_weighted,max_claim,0.08803614230338748,0.7120705040407772,20
10000,glm_tweedie,gini_exposure_weighted,top1_share,0.14736842105263157,0.5352473458918692,20
10000,glm_tweedie,gini_exposure_weighted,sample_loss_cost,-0.045112781954887216,0.8502061902084873,20
10000,glm_tweedie,gini_exposure_weighted,cap_q995,-0.34736842105263155,0.1334492290162471,20
10000,intercept,gini_total_loss,n_above_q99,,,20
10000,intercept,gini_total_loss,max_claim,,,20
10000,intercept,gini_total_loss,top1_share,,,20
10000,intercept,gini_total_loss,sample_loss_cost,,,20
10000,intercept,gini_total_loss,cap_q995,,,20
10000,intercept,tweedie_deviance_1.5,n_above_q99,-0.5766670579986285,0.007774830795673968,20
10000,intercept,tweedie_deviance_1.5,max_claim,-0.7486834324091498,0.0001460946326929669,20
10000,intercept,tweedie_deviance_1.5,top1_share,-0.7022556390977444,0.000556435286609183,20
10000,intercept,tweedie_deviance_1.5,sample_loss_cost,-0.8421052631578947,3.2174929874707044e-06,20
10000,intercept,tweedie_deviance_1.5,cap_q995,-0.5834586466165413,0.006922690881578287,20
10000,intercept,calibration_ratio,n_above_q99,0.6264457549042206,0.003123293444385073,20
10000,intercept,calibration_ratio,max_claim,0.911211695123096,2.3512343336765158e-08,20
10000,intercept,calibration_ratio,top1_share,0.8646616541353382,8.760838300464333e-07,20
10000,intercept,calibration_ratio,sample_loss_cost,1.0,0.0,20
10000,intercept,calibration_ratio,cap_q995,0.7398496240601502,0.00019241032720557428,20
10000,intercept,gini_exposure_weighted,n_above_q99,,,20
10000,intercept,gini_exposure_weighted,max_claim,,,20
10000,intercept,gini_exposure_weighted,top1_share,,,20
10000,intercept,gini_exposure_weighted,sample_loss_cost,,,20
10000,intercept,gini_exposure_weighted,cap_q995,,,20
